PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
KOSOVO,148796,155757,160578,163747,163882,156241,176656,149418,123923,110370,105901,94350,73272,54430,38770,27564,18002,8322,2413,354,28
KUWAIT,267005,245381,214904,187717,260279,343857,346918,307023,249472,183127,138048,97912,64697,38703,23341,13749,7425,3030,913,181,24
KYRGYZSTAN,614857,619476,578259,464992,471527,520157,523589,439617,340275,296931,266774,261419,221055,151721,85314,36628,45898,17881,7433,1024,70
LAOS,790859,774021,762144,785302,748952,690462,600055,505543,410878,350340,294319,226947,199863,125315,86017,54459,28290,10812,2495,304,19
LATVIA,92109,95248,100791,87808,81529,111741,138571,127237,119918,131901,130808,143811,134138,111375,89185,80129,62563,29858,10556,1815,141
LEBANON,337277,381740,416173,411728,407368,434703,466529,471722,439906,395685,344978,293350,232973,160739,90332,82126,65536,27861,7648,1162,76
LESOTHO,212838,204333,199141,196554,182772,179544,178757,164982,116436,69950,55555,52236,45931,36866,29261,20694,13819,7127,2150,357,31
LIBERIA,834024,724746,640580,548756,483517,337949,342712,298021,230980,175832,137104,100596,74785,54640,40378,27006,14578,5607,1313,163,9
LIBYA,806771,819231,692837,549673,498300,488309,543005,554158,524934,427079,327062,227194,153279,100147,81604,49049,29643,13657,3940,615,48
LIECHTENSTEIN,2006,2009,1932,2085,2334,2389,2440,2531,2499,2751,3131,2987,2654,2278,1983,1503,836,471,220,85,13
LITHUANIA,136104,142400,138246,131581,147920,168780,182929,171581,163622,185168,192111,214194,198245,153134,127784,111108,87511,49081,14843,2717,12405
LUXEMBOURG,35938,34677,34488,34826,39181,44591,47865,47838,46413,44426,44933,41886,34740,28468,23108,16904,12912,8351,4642,1689,505
MACAU,26182,27718,28600,30809,33390,46501,53314,52371,48914,46902,53062,47889,41630,29836,18274,11155,7735,5541,2976,1179,480
MADAGASCAR,3780648,3507389,3186837,2839110,2568163,2259668,1884282,1551376,1276441,1037105,890966,701648,537031,386244,265058,155140,82722,35446,9118,1259,86
MALAWI,3773032,3201263,2747795,2342959,2004397,1617180,1284592,1086893,848559,627086,462821,352750,279145,222164,166310,102197,51459,19998,5306,682,41
MALAYSIA,2938839,2916715,2895689,2816000,2614430,2509470,2402301,2364330,2212338,2020742,1833421,1594238,1282080,931614,601921,370538,210367,96553,32039,7407,1051
MALDIVES,30703,29002,27032,29027,38544,46175,44300,35039,26103,21502,18563,15635,11430,6117,4382,3976,2609,1267,415,75,8
MALI,3609399,3123948,2592459,2082784,1631570,1324457,1097349,921962,781494,594355,482779,396837,323043,231821,166369,109675,57023,20565,4874,598,36
MALTA,22838,21945,20974,21045,26211,31736,34670,33973,32672,29453,25445,28472,30414,27896,28686,18241,11971,6778,2840,825,182
MARSHALL ISLANDS,8600,8546,8519,7829,7047,5195,6612,6225,4478,3565,3029,2470,2140,1692,1010,540,267,107,36,9,1
MAURITANIA,538645,502362,463452,417530,372072,325453,284347,244231,204386,163491,136303,111025,85064,63521,44972,27570,14247,5363,1265,164,12
MAURITIUS,86961,89152,92010,96378,97574,106807,96589,103755,108435,88218,90881,92568,77169,61845,41693,23354,14577,7494,3058,765,82
MEXICO,11223270,11170025,11067671,11002622,10829422,10483064,9973157,9042984,8435123,7996495,6897120,5885425,4777799,3426865,2546376,1850617,1188488,598357,209211,40960,4514
MOLDOVA,192206,215042,208668,185155,194175,236931,292662,273788,239918,220279,187417,221056,225192,184753,118211,71883,59369,26479,9629,1584,99
MONACO,887,849,1176,1476,1468,1342,1328,1171,1406,1925,2251,2392,2395,2254,2297,2230,1768,1066,576,404,279
MONGOLIA,278524,305702,269894,226365,246589,271387,309408,255763,227984,199533,170740,147947,106742,62660,36480,25948,15563,7908,2432,416,41
MONTENEGRO,36303,36263,38053,38548,39392,37191,40233,42198,41778,40305,40130,41377,40392,35695,26291,15793,11863,4758,2334,809,153
MONTSERRAT,290,291,280,371,733,358,378,519,500,420,355,310,216,126,88,65,45,21,6,0,1
MOROCCO,3180781,3242217,3191961,3044376,2839855,2738962,2777404,2630980,2327011,2112509,1865624,1668470,1413616,1020040,647521,447264,270514,111040,27592,3675,242
MOZAMBIQUE,5173526,4656001,3887646,3256912,2735544,2223567,1843574,1550797,1217002,960642,717534,555602,439282,339634,248011,164883,87937,32465,6897,707,34
NAMIBIA,325057,314967,298366,281617,251371,229690,193889,166921,139620,114080,88743,71460,51748,37668,27282,19010,12236,5187,1030,124,7
NAURU,1049,1062,910,838,762,716,977,877,633,505,457,388,270,207,88,25,14,4,3,0,0
NEPAL,2745826,2860090,2994512,3135690,3211584,2885557,2229752,1888714,1747975,1586564,1300356,1104711,909485,708349,484517,301072,159588,58679,13098,1667,91
NETHERLANDS,932505,919531,932405,1011182,1046581,1106109,1094210,1029143,1006772,1140800,1270268,1245841,1120429,994731,949134,628606,431691,259370,118955,36410,5724
NEW CALEDONIA,20805,20943,21298,21915,23412,23693,22082,21158,20843,20423,18625,14771,11497,9725,7745,5377,3296,1624,597,154,26
NEW ZEALAND,311210,322699,332746,308771,327688,358388,357349,322727,295189,316598,319172,310274,277407,234586,202931,142123,95515,55313,26690,7250,851
NICARAGUA,519489,521797,548429,591994,618535,645343,519370,459410,388954,328701,288957,234596,176761,134486,95048,66550,40082,18400,5619,865,55
NIGER,4585129,3746737,3187051,2586965,1965990,1453092,1144194,931675,755681,594549,487396,406622,315984,229784,172126,117142,61809,23380,6213,797,45
NIGERIA,32867416,29467534,26911557,23851246,19530167,15584793,13470183,11892592,10028572,8081634,6437613,5028434,3813677,2876077,2065739,1265958,606377,202879,41245,4381,228
NORTH KOREA,1799113,1730069,1719514,1829568,1934322,2049859,1886883,1732137,1559759,1956368,2098474,1579971,1292314,697730,775627,538660,309136,118564,30622,4499,277
NORTH MACEDONIA,113649,115845,114051,122581,146439,154056,162985,167561,163274,152633,144827,138309,128478,112464,81960,54677,34434,14692,2730,310,16
NORTHERN MARIANA ISLANDS,3729,3840,5302,4672,3703,3281,2033,2047,3141,4070,4687,4007,3200,1931,1054,410,206,89,29,2,0
NORWAY,331178,324653,326083,314756,342561,377463,389474,365105,349306,372995,373776,337486,309777,277841,260172,182037,114187,69868,35670,11308,1743
OMAN,407986,374177,313577,295666,334850,373878,368810,340904,262050,167663,115328,82762,63223,48999,36967,25371,13982,6083,1957,408,48
PAKISTAN,29778193,28245207,26050219,23773611,21298570,18979815,16636153,14245798,12091648,10150106,8927907,7214091,5736558,4139271,2808436,1923304,1037243,374552,80029,9387,538
PALAU,1190,1263,1598,1785,1654,1947,1767,1501,1420,1600,1595,1348,968,744,445,353,284,156,54,12,1
PANAMA,330452,330609,334275,322031,324015,301278,287180,264811,258668,239043,218587,186612,145834,118007,92124,66642,40598,21495,8907,2476,438
PAPUA NEW GUINEA,783951,772129,765817,746997,695620,611001,522889,452259,464057,380287,304553,240826,182420,139305,96643,56356,30215,10976,2766,368,21
PARAGUAY,566849,546179,570745,605928,667997,681136,613524,524206,457650,421846,367181,322677,279313,205578,146530,104442,60744,32341,13171,3208,440
PERU,2691803,2715409,2709319,2696236,2796182,2844794,2490911,2170852,2034870,1877823,1675504,1453299,1189004,946377,691473,473908,286069,127928,36678,6035,515
PHILIPPINES,12092081,11791990,11508686,10894359,10029013,8964185,8143180,7380042,6481602,5343343,4492542,3746368,3003418,2253501,1454194,899257,472497,181075,43203,5863,416
POLAND,1794234,1929136,1952116,1773595,1978936,2437292,2796940,3276325,3098030,2717895,2261181,2366239,2733750,2514115,1864917,1029307,871301,552718,254968,70165,9165
PORTUGAL,424788,443596,530300,560618,566578,558687,596960,703887,833685,840087,741132,697735,649524,596172,527241,401746,307561,196072,93064,28381,4860
PUERTO RICO,125089,150564,177814,194236,213306,215860,192766,181912,200576,202953,209323,218352,212017,195649,183241,137587,92040,53082,23519,7776,1406
