PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
TONGA,11012,11289,11647,10994,9860,8196,6932,6092,5124,5198,5961,3670,2877,2437,1895,1338,945,451,148,26,3
TRINIDAD AND TOBAGO,72653,79839,77266,70104,66271,74066,99879,112010,90275,75072,77776,92063,75172,55471,39973,25545,15037,6993,2626,609,89
TUNISIA,1002851,1072373,887967,765776,746443,877523,939755,934342,845323,733966,691177,639348,546273,412112,261235,175286,114832,57130,14968,2324,173
TURKEY,6103912,6443321,6655087,6561482,6289396,6139156,6313104,6722290,6119702,5470766,4759042,4202299,3385525,2641932,1827729,1159399,723895,364069,117170,16955,1283
TURKMENISTAN,490729,471073,444681,437347,473688,534223,519175,431442,361901,317658,276209,262618,210555,136342,75627,35642,32838,12113,4133,585,48
TURKS AND CAICOS ISLANDS,4012,4137,3780,3550,3826,4339,4684,5830,5887,5041,3585,2704,1662,1108,628,515,327,190,89,27,5
TUVALU,1242,1109,986,949,1048,1093,992,730,529,371,501,591,443,356,191,108,69,26,6,1,1
U.S. VIRGIN ISLANDS,6666,7068,7408,5756,5205,5880,6216,6960,5583,6682,7382,7767,7274,6444,5833,4169,2350,1122,365,94,11
UGANDA,8263798,6734072,5855919,4906246,3851683,3167823,2598274,1946744,1495303,1205228,936502,730304,529858,371537,288919,198954,113784,44183,12002,1725,108
UKRAINE,2239984,2474130,2382900,1965716,2109227,2758456,3566574,3631612,3281131,3109572,2828318,3070423,3023757,2492020,1884451,1148159,1258483,419476,231348,44772,2430
UNITED ARAB EMIRATES,497766,493628,452428,390576,402979,638955,1076430,1580140,1531406,1130726,839948,512948,254794,111741,48653,17993,7234,2639,882,187,30
UNITED KINGDOM,3899509,3876406,3819300,3589804,3963029,4381974,4549283,4314100,3956552,4233279,4652375,4533951,3840128,3257115,3256572,2288775,1619695,1001066,508625,181319,38260
UNITED STATES,20438539,20200409,20769978,21038355,21899476,23511987,22979416,21922009,20429786,20104631,20510406,21771752,21010792,18030171,14759266,10053038,6508211,3943281,2016964,648571,92064
URUGUAY,216310,217889,226700,246266,266583,256915,242415,220228,227460,212538,190589,189548,175810,146235,119713,94322,68008,43453,20055,5629,939
UZBEKISTAN,2426573,2352569,2309301,2410680,2672949,3074395,2994874,2509189,2058563,1793001,1531410,1469152,1168146,750761,408648,222238,240825,109969,50584,10371,1213
VANUATU,33307,33782,33289,31327,28317,25111,21037,18674,16372,14211,12254,10076,7494,5436,3715,2267,1123,421,103,16,1
VENEZUELA,2480367,2464853,2405957,2329970,2294015,2330406,2288701,2145946,1872185,1680880,1500700,1359914,1148801,915336,623138,380965,245174,122521,46669,7480,625
VIETNAM,7230008,7448117,7645657,7534468,7494107,8610599,8800086,8410216,7160467,6437665,5695962,5268568,4160423,2745003,1650119,1043185,762151,418921,163652,37043,4858
WALLIS AND FUTUNA,1043,1107,1113,1188,1145,1295,1295,1253,1115,1036,911,806,766,622,497,314,194,94,45,12,3
WEST BANK,355963,342173,325967,309476,292413,262031,212063,164161,147103,127523,107503,86827,61794,39114,27848,18775,11306,5747,1856,355,36
WESTERN SAHARA,84590,78874,73252,66755,60051,53728,47526,40614,33613,28437,23696,19449,14938,11049,7441,4633,2462,908,225,28,2
YEMEN,3758893,3795528,3715415,3410349,2994543,2599797,2280596,1950702,1560332,1007605,723791,664005,543719,374078,247440,144841,73039,29790,8465,1366,111
ZAMBIA,3092857,2628833,2248413,1890158,1601246,1334942,1094554,910445,758878,551439,396163,295869,227928,151843,114520,71521,39539,13981,3107,367,20
ZIMBABWE,2164084,1794428,1615105,1565045,1367105,1277408,1154428,992716,639598,433686,293529,300340,290990,229079,159779,119613,92610,45077,10330,1280,84
