,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
LIBERIA,2548.683,1666.965,465.677,236.178,19.871,4937.374,35.3,5508,108.9,245,4.84,1115572.77208492,49621.5194554838,0.465,LBR,2.4,490,0.04,9.9,52.6,3.41,Africa
LIBYA,2456.523,2823.561,1040.004,405.855,51.51,6777.453,,284618,4142.13,3933,57.24,41994831.9818669,580306.495670276,0.708,LBY,10.2,5504,2.09,32.5,81,1.45,Africa
LITHUANIA,544.511,848.942,624.983,570.612,170.583,2759.631,37.3,290766,10406.47,4458,159.55,105364086.72029,1615433.36772199,0.869,LTU,3.8,18391,6.35,26.3,68.2,-0.12,Europe
LUXEMBOURG,131.469,226.329,136.513,96.82,24.599,615.73,34.9,74690,11929.25,828,132.25,121303168.596625,1344745.26172186,0.909,LUX,5,107458,3.01,22.6,1.43,91.7,Europe
MACAU,113.263,262.816,149.603,101.318,13.446,640.446,35,,,,,,,0.922,MAC,4.3,24350,2.41,,1.46,100,East Asia/Southeast Asia
MACEDONIA,464.535,769.415,427.227,369.776,52.505,2083.458,30.7,162457,7797.76,5560,266.87,77974693.9943114,2668640.30856394,0.759,MKD,9.3,5371,2.87,22.4,58.8,0.61,
MADAGASCAR,13840.171,9279.612,2518.501,1217.969,113.053,26969.306,42.6,42819,154.63,954,3.45,1587693.80272522,35373.5465050528,0.521,MDG,4.5,459,0.18,5.3,39.2,4.26,Africa
MALAWI,10202.893,6251.059,1415.344,701.664,57.789,18628.749,44.7,58221,304.34,1983,10.37,3125330.6381443,106448.371814983,0.485,MWI,4.5,527,0.04,5.8,17.7,4.41,Africa
MALAYSIA,10283.359,13331.802,4942.632,3034.774,357.222,31949.789,41,1424639,4401.65,12784,39.5,44589934.5375959,400127.838089948,0.804,MYS,16.7,11637,1.54,15.6,77.7,1.87,East Asia/Southeast Asia
MALDIVES,133.914,303.466,62.912,26.387,4.278,530.957,31.3,79289,14668.37,222,41.07,149332243.477344,418112.954533041,0.719,MDV,9.2,5663,4.56,8.6,2.34,41.1,South Asia
MALI,11455.501,5997.438,1440.451,713.867,50.766,19658.023,40.1,14698,72.58,535,2.64,747684.545897622,27215.351208003,0.427,MLI,2.4,756,0.13,8.6,44.7,4.57,Africa
MALTA,84.16,152.747,81.772,100.913,20.785,440.377,29.2,35380,6875.72,431,83.76,80340253.9188014,978706.880695404,0.885,MLT,8.3,26014,2.86,28.9,94.8,0.28,Europe
MARTINIQUE,84.715,94.297,89.97,83.494,23.081,375.557,,31485,8390.07,224,59.69,83835476.3724282,596447.410113511,,,,,,,,,
MAURITANIA,2263.813,1596.854,437.153,209.193,18.685,4525.698,32.6,30354,652.82,645,13.87,6707031.71090956,142519.452248029,0.527,MRT,7.1,1684,0.19,12.7,3.84,56.1,Africa
MAURITIUS,314.512,471.099,258.356,199.164,26.539,1269.67,36.8,6122,481.38,22,1.73,4821725.33020391,17327.3370245812,0.796,MUS,22,9273,2.6,10.8,40.8,0.28,Africa
MAYOTTE,134.124,89.019,27.099,13.746,2.165,266.153,,19614,7189.49,175,64.15,73694453.9419056,657516.541237559,,,,,,,,,
MEXICO,44602.341,48729.56,20271.66,11970.294,2001.674,127575.529,36.8,3101266,2405.34,248380,192.64,24309254.4809279,1946925.10348125,0.767,MEX,13.5,9322,2.38,28.9,1.4,81,North America
MICRONESIA,47.376,42.68,15.135,8.213,0.407,113.811,,0,0,0,0,0,0,0.614,FSM,11.9,2733,,,,,
MOLDOVA,847.853,1661.915,788.777,652.907,91.806,4043.258,25.7,262244,6500.9,6313,156.5,64859576.1141139,1561364.62229222,0.711,MDA,5.7,3514,3.21,18.9,0.09,43,Europe
MONGOLIA,1208.404,1289.618,501.222,205.438,20.484,3225.166,32.7,183652,5602.07,880,26.84,56943425.5477082,272854.172467402,0.735,MNG,4.7,4054,2.86,20.6,1.4,68.8,East Asia/Southeast Asia
MONTENEGRO,153.406,216.221,121.826,114.829,21.706,627.988,39,106492,16955.65,1644,261.76,169576488.722714,2617884.4181736,0.816,MNE,9,7293,2.76,23.3,0.45,67.8,Europe
MOROCCO,12789.71,13756.822,5753.933,3736.818,434.483,36471.766,39.5,763353,2068.12,11119,30.12,20929970.8711665,304865.961247942,0.676,MAR,7,3127,0.73,26.1,1.88,64.1,Africa
MOZAMBIQUE,16898.894,9812.251,2318.362,1231.143,105.393,30366.043,54,139038,444.84,1731,5.54,4578732.89582051,57004.4638348171,0.446,MOZ,3.3,565,0.08,7.2,4.24,37.6,Africa
MYANMAR,19077.872,20881.058,8841.746,4821.787,422.959,54045.422,30.7,360291,662.18,13623,25.04,6666448.08509405,252065.753136316,0.584,MMR,3.9,1478,,,,,
