,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
SWEDEN,2297.477,3207.568,1944.513,2064.727,522.106,10036.391,28.8,1110147,10749.33,14658,141.93,110612171.247613,1460485.14849611,0.937,SWE,4.8,56068,3.98,20.6,88.2,0.89,Europe
SWITZERLAND,1711.462,2824.658,1920.739,1685.87,448.632,8591.361,32.7,737686,8523.61,10370,119.82,85863694.9372748,1207026.45366665,0.946,CHE,5.7,80132,4.3,19.5,74,0.79,Europe
SYRIA,6869.126,6934.457,2025.291,1104.128,137.13,17070.132,55.8,26409,150.9,1940,11.09,1547088.21232314,113648.798966522,0.549,SYR,13.5,2900,1.29,27.8,5.38,56.1,Middle East
TAJIKISTAN,4262.51,3451.258,1089.958,470.474,46.823,9321.023,34,16575,173.79,125,1.31,1778238.28993878,13410.5451729923,0.656,TJK,6.1,1147,2.1,14.2,27.7,2.73,Central Asia
TANZANIA,31626.528,19100.286,4851.666,2266.349,160.632,58005.461,40.5,1367,2.29,50,0.08,23566.7465861533,861.987804906852,0.528,TZA,5.7,976,0.01,8.4,4.89,36,Africa
THAILAND,16177.967,24380.647,16215.494,11004.438,1847.035,69625.581,36.4,948442,1358.8,7973,11.42,13622033.5454005,114512.509418054,0.765,THA,7,6094,0.81,10,52.2,1.43,East Asia/Southeast Asia
TIMOR LESTE,633.077,435.831,140.372,76.402,7.438,1293.12,28.7,12929,980.62,38,2.88,9998298.68844345,29386.290522148,0.626,TLS,6.7,4031,0.72,3.8,31.7,3.31,East Asia/Southeast Asia
TOGO,4177.133,2780.373,748.801,354.56,21.492,8082.359,43.1,18086,218.46,168,2.03,2237713.0241307,20786.0106189294,0.513,TGO,2.4,693,0.08,8.4,43.4,3.6,Africa
TONGA,47.901,34.066,13.443,7.909,1.178,104.497,37.6,0,0,0,0,0,0,0.717,TON,15.7,6496,0.54,48.2,23.1,0.99,Australia - Oceania
TRINIDAD AND TOBAGO,370.928,530.321,265.316,201.961,26.443,1394.969,39,41866,2991.52,1180,84.32,30012136.4704162,845896.933910359,0.799,TTO,11,13708,4.17,18.6,0.23,53.3,Central America
TUNISIA,3620.554,4485.888,2060.809,1326.139,201.331,11694.721,32.8,625688,5294.09,21905,185.34,53501746.6427801,1873067.3438041,0.739,TUN,8.5,3984,1.3,26.9,69.9,1.34,Africa
TURKEY,27087.438,31747.634,13975.111,9185.05,1434.374,83429.607,41.9,6096816,7228.93,53324,63.23,73077366.887273,639149.600692713,0.806,TUR,11.1,15226,1.85,32.1,76.6,1.11,Middle East
TURKMENISTAN,2306.188,2330.828,839.668,413.437,51.973,5942.094,40.8,0,0,0,0,0,0,0.71,TKM,6.1,8005,2.23,18.6,53,2.23,Central Asia
UGANDA,25649.952,14133.069,3075.604,1321.635,89.327,44269.587,42.8,97124,212.33,2893,6.32,2193921.5290172,65349.6044586998,0.528,UGA,2.5,958,0.17,5.3,25.6,5.41,Africa
UKRAINE,8967.685,15717.968,9026.171,8432.174,1849.645,43993.643,26.1,2267219,5184.14,53296,121.86,51535150.2034055,1211447.75394027,0.75,UKR,6.1,3116,2.99,24.1,69.8,-0.27,Europe
UNITED ARAB EMIRATES,1841.459,6171.226,1484.384,261.686,11.771,9770.526,32.5,702885,7106.74,2003,20.25,71939320.3600297,205004.316041941,0.866,ARE,16.3,41420,2.53,31.7,1.5,87.3,Middle East
UNITED KINGDOM,15634.443,22104.968,13492.259,12879.932,3418.559,67530.161,34.8,6295617,9273.81,130979,192.94,93226743.5287175,1939562.97542368,0.92,GBR,3.9,39103,2.81,27.8,0.8,84.2,Europe
UNITED STATES OF AMERICA,82289.916,110310.707,62694.553,60854.332,12915.409,329064.917,41.1,36547639,11041.49,616711,186.32,111065133.692146,1874131.72337664,0.92,USA,10.8,53749,2.61,36.2,82.9,0.96,North America
UNITED STATES VIRGIN ISLANDS,27.137,28.181,21.092,24.483,3.686,104.579,,5295,5070.62,41,39.26,50631579.9539104,392048.116734717,0.894,VIR,12.3,36350,,,,,
URUGUAY,956.417,1205.985,606.554,538.437,154.338,3461.731,39.7,383292,11034.02,6003,172.81,110722641.360637,1734103.54530725,0.808,URY,7.3,13431,5.08,27.9,95.6,0.4,South America
UZBEKISTAN,12035.398,13515.44,4804.879,2356.71,269.288,32981.715,36.8,144764,432.53,987,2.95,4389219.90563559,29925.6724521451,0.71,UZB,6.5,2457,2.37,16.6,1.25,50.4,Central Asia
VANUATU,144.76,105.385,32.471,15.637,1.629,299.882,37.6,3,0.98,0,0,10003.9348810532,0,0.597,VUT,11.9,2540,0.17,25.2,25.7,2.55,Australia - Oceania
VENEZUELA,10292.801,10267.772,4653.437,2901.763,400.056,28515.829,39,319094,1122.15,3799,13.36,11190065.7000012,133224.2523968,0.726,VEN,7,14025,,25.6,1.16,88.3,South America
VIETNAM,28867.553,38804.797,17353.782,9562.522,1873.454,96462.108,35.7,283696,291.45,6141,6.31,2941009.74861549,63662.3035441025,0.693,VNM,6,2123,0.83,2.1,2.7,38.1,East Asia/Southeast Asia
YEMEN,14585.766,10905.49,2333.619,1236.095,100.952,29161.922,36.7,7308,24.5,1405,4.71,250600.766300657,48179.2660991275,0.463,YEM,5.4,632,0.53,17.1,3.71,38.5,Middle East
ZAMBIA,9995.38,5961.552,1299.655,559.205,45.242,17861.034,57.1,202429,1101.12,3538,19.25,11333554.3731679,198084.836521783,0.591,ZMB,4.5,1558,1.19,8.1,45.2,4.15,Africa
ZIMBABWE,7768.671,5036.634,1169.634,607.735,62.799,14645.473,44.3,120532,810.96,4138,27.84,8229983.42218104,282544.647072853,0.563,ZWE,1.8,1059,0.21,15.5,2.41,32.3,Africa
